LED,OLED,QLED,UHD,ULED,X4K,brand,current_price,description,id,inch,name,old_price
1,0,0,0,0,0,SHP,749.0,"32"" LED TV with USB(video, photo music) HDMI x 2, MHL & Digital Tuner",SHP-LC32LE280X,32.0,Sharp 32inch LED TV with USB SHP-LC32LE280X,969.0
1,0,0,0,0,0,SHP,899.0,Equipped with USB Media Player for MVs and PhotosSuper Eco mode for better energy efficiencyJapan quality standards; overcome voltage shortage and lightning surgesBuild to have certain drop resistance from strict drop testing,SHP-LC40SA5100M,40.0,Sharp 40-Inch Full HD LED TV Model LC40SA5100M,1349.0
0,0,0,0,0,0,SHP,999.0,X2 Master Engine processor enhances your viewing experienceSuper Eco Mode optimized energy efficient screen displaySupport digital broadcasting,SHP-LC40SA5200X,40.0,Sharp 40-inch Full HD TV LC40SA5200X,1549.0
0,0,0,1,0,1,SHP,2199.0,Android TV4K UHD7 Shields,SHP-LC45UA6800X,45.0,Sharp 45-inch 4K UHD Android TV SHP-LC45UA6800X,2999.0
1,0,0,0,0,0,SHP,1399.0,Equipped with USB Media Player for MVs and PhotosSound reflect design for rich and detailed stereo imagingJapan quality standards; overcome voltage shortage and lightning surgesBuild to have certain drop resistance from strict drop testing,SHP-2TC45AD1X,45.0,Sharp 45-Inch Full HD Basic LED TV Model 2TC45AD1X,1789.0
0,0,0,1,0,0,SHP,2099.0,4K UHD Easy Smart TVDolby Audio Surround,SHP-LC45UA6500X,45.0,Sharp 45-inch Smart UHD TV SHP-LC45UA6500X,2539.0
0,0,0,1,0,1,SHP,2923.0,4K Ultra HDAndroid TVHigh Luminance TechnologyX4 Master Engine Pro II Processor,SHP-LC50UA6800X,50.0,"Sharp 50"" 4K UHD Android TV SHP-LC50UA6800X",3866.0
0,0,0,1,0,1,SHP,1999.0,4K resolution Ultra High-DefinitionX4 Master Engine Pro II processor for SD and HD videos convert to 4K maintaining good image qualityEasy Smart function to enjoy one-touch remote controlling to Youtube and other WebBrowsers,SHP-4TC50AH1X,50.0,Sharp 50-Inch 4K Ultra HD Easy Smart TV Model 4TC50AH1X,2499.0
0,0,0,0,0,0,SHP,1699.0,50 inch Full HD Basic TVUSB Media Player - Expand your entertainment with videos music & photosSound Reflect Design - Directed sound with rich details & superb stereo imaging,SHP-2TC50AD1X,50.0,Sharp 50-inch Full HD Basic TV 2TC50AD1X,2699.0
0,0,0,0,0,0,SHP,1799.0,"50 inch Full HD Easy Smart TVX2 Master Engine Pro - The X2 Master Engine Pro processor enhances your viewing experience.Smart TV feature - Enjoy variety contents from YouTube, Web Browser, Bluetooth.Mirroring - Enjoy favourite content and apps in large screen from smartphone.",SHP-2TC50AE1X,50.0,Sharp 50-inch Full HD Rasy Smart TV 2TC50AE1X,2499.0
0,0,0,1,0,1,SHP,3599.0,"60 inch 4K UHD android TVX4 Master Engine Pro II - Up-converts SD & HD videos to 4K resolution with minimal noise while maintaining image qualityReal Colour - Improved backlights and colour panels provide wider colour gamutAndroid TV - Variety of apps for videos, news and gamesEilex Prism - Provide the foundation of natural, realistic sound",SHP-LC60UA6800X,60.0,Sharp 60-inch 4K UHD Android TV SHP-LC60UA6800X,4699.0
0,0,0,1,0,1,SHP,2999.0,4K Ultra HD - AQUOS 4K TVs Latest HDR Standards X4 Master Engine Pro II  One-Touch Remote Control Button to Youtube or Web Browser Mirroring of Smart Mobile Device's Content and Apps on TV Screen,SHP-LC60UA6500X,60.0,Sharp 60-inch 4K UHD Easy Smart TV LC60UA6500X,4239.0
0,0,0,1,0,1,SHP,7499.0,"70-Inch 4K Ultra HD Android TV4K Ultra HD - AQUOS 4K TVs come with the latest HDR standardsX4 Master Engine Pro II - The X4 Master Engine Pro II processorAndroid TV - Enjoy a variety of apps for videos news and gamesNetflix,Youtube, Google Voice Search Available",SHP-4TC70AL1X,70.0,Sharp 70-Inch 4K Ultra HD Android TV 4TC70AL1X,9999.0
1,0,0,0,0,0,SNY,989.0,"80 cm (32"")WXGA Resolution (1366 x 768)Dolby™ Digital, Dolby™ Digital Plus, Dolby™ pulse Audio Support2 x HDMI1 x USB Port",SNY-KDL32R300E,32.0,Sony 32-inch LED TV SNY-KDL32R300E,1036.0
0,0,0,0,0,0,SNY,1549.0,,SNY-KDL40W650D,40.0,"Sony 40"" Full HD Internet TV SNY-KDL40W650D",1885.0
1,0,0,0,0,0,SNY,1299.0,"102 cm (40"")Full HD (1920 x 1080)Live Colour™ TechnologyDynamic Contrast EnhancerDolby™ Digital, Dolby™ Digital Plus, Dolby™ pulse Audio Support2 x HDMI1 x USB Port",SNY-KDL40R350E,40.0,Sony 40-inch Full HD LED TV SNY-KDL40R350E,1444.0
1,0,0,0,0,0,SNY,1829.0,High Dynamic RangeX-Reality™ PROClearAudio+Motionflow™ XR,SNY-KDL43W660F,43.0,Sony 43-inch KDL-43W660F LED | Full HD | High Dynamic Range (HDR) | Smart TV,1899.0
0,0,0,1,0,1,SNY,1599.0,4K X-Reality PRO4K High Dynamic RangeMotionflow™ XRClearAudio+,SNY-KD43X7000F,43.0,Sony 43-inch X70F 4K UHD HDR Smart TV KD-43X7000F,2199.0
0,0,0,1,0,1,SNY,2399.0,,SNY-KD49X7500F,49.0,Sony 49-inch 4K HDR UHD TV KD-49X7500F,2859.0
0,1,0,1,0,1,SNY,10899.0,4K High Dynamic RangePicture Processor X1™ UltimateAcoustic Surface Audio+™Android TV™,SNY-KD55A9,55.0,Sony 55-inch A9F Master Series 4K UHD HDR OLED Smart TV KD-55A9F,11699.0
0,1,0,1,0,1,SNY,7999.0,4K High Dynamic Range4K HDR Processor X1™ ExtremeAcoustic Surface™ technology,SNY-KD55A8,55.0,Sony 55-inch KD-55A8F OLED 4K ULTRA HD TV SNY-KD55A8,8999.0
0,1,0,1,0,1,SNY,16399.0,4K High Dynamic RangePicture Processor X1™ UltimateAcoustic Surface Audio+™Android TV™,SNY-KD65A9,65.0,Sony 65-inch A9F Master Series 4K UHD HDR OLED Smart TV KD-65A9F,17699.0
0,1,0,1,0,1,SNY,11699.0,4K High Dynamic Range4K HDR Processor X1™ ExtremeAcoustic Surface™ technology,SNY-KD65A8,65.0,Sony 65-inch KD-65A8F OLED 4K ULTRA HD TV,12999.0
1,0,0,1,0,1,SNY,3999.0,4K X-Reality PRO4K High Dynamic RangeMotionflow™ XRClearAudio+,SNY-KD65X7000F,65.0,Sony 65-inch | X70F | LED | 4K Ultra HD | High Dynamic Range | Smart TV KD-65X7000F,4759.0
1,0,0,0,0,1,SNY,9999.0,Remarkable realism of 4K HDR Processor X1Enhanced 4K detail with 4K X-Reality PROWide colour gamut with TRILUMINOS DisplayEnjoy smooth and sharp details even in fast-moving sequences with Motionflow™ XRSony’s 4K HDR televisions are perfect partners for PlayStation®4,SNY-KD75X8500F,75.0,Sony 75-Inch X85F LED 4K Ultra HDR Android TV KD75X8500F,10999.0
1,0,0,1,0,1,SNY,19599.0,4K High Dynamic Range4K HDR Processor X1™ ExtremeX-Motion Clarity™Android TV™,SNY-KD85X9000F,85.0,Sony 85-inch UHD 4K Android LED TV SNY-KD85X9000F,20999.0
1,0,0,1,0,1,SNY,1999.0,4K High Dynamic Range4K X-Reality™ PROClearAudio+,SNY-KD49X7000F,70.0,Sony X70F 49-inch 4K Ultra HD HDR LED Smart TV KD-49X7000F,2459.0
1,0,0,1,0,1,SNY,2599.0,4K High Dynamic Range4K X-Reality™ PROClearAudio+,SNY-KD55X7000F,70.0,Sony X70F 55-inch 4K Ultra HD HDR LED Smart TV KD-55X7000F,3099.0
1,0,0,1,0,1,SNY,2999.0,4K High Dynamic Range4K X-Reality™ PROAndroid TV™ClearAudio+,SNY-KD55X7500F,75.0,Sony X75F 55-inch 4K Ultra HD HDR LED Smart TV KD-55X7500F,3499.0
1,0,0,1,0,1,SNY,4319.0,,SNY-KD65X7500F,75.0,Sony X75F 65-inch 4K Ultra HD HDR LED Smart TV SNY-KD65X7500F,5059.0
1,0,0,1,0,1,SNY,6999.0,4K High Dynamic Range4K HDR Processor X1™4K X-Reality™ PROAndroid TV™TRILUMINOS™ DisplayClearAudio+,SNY-KD65X8500F,,Sony X85F | LED | 4K ULTRA HD Smart Android TV KD-65X8500F,7499.0
1,0,0,0,0,0,TSB,848.0,32-inch LED TVResolution: 1366 x 7683D Noise FilterAMR+100 Active Motion and ResolutionDolby Digital Plus Sound TechnologyHDMI x 2USB Port x 2,TSB-32L3750,32.0,Toshiba 32-inch Pro Theatre LED TV TSB-32L3750,980.0
0,0,0,0,0,0,TSB,1399.0,Quick LinkMirroring FunctionQuick and Easy,TSB-40L5650,40.0,Toshiba 40L5650VM 40-inch Smart TV TSB-40L5650,1649.0
0,0,0,1,0,1,TSB,2451.0,49-inch UHD 4K with Android TVChromecast Built-inCEVO 4K EngineDolby Digital PlusDTS TruSurroundAMR+ 800 Active Motion & ResolutionPicture Optimizer: 5 modes (User / Cinema / Sports / Vivid / Hi-Bright)Expandable memory with USB/HDD 3.0Supports connection with Bluetooth devices16GB Internal MemoryHDMI x 3USB x 2,TSB-49U7750VM,49.0,Toshiba 49-inch UHD 4K with Android TV TSB-49U7750VM,3292.0
0,0,0,1,0,1,TSB,3206.0,55-inch UHD 4K with Android TVChromecast Built-inCEVO 4K EngineDolby Digital PlusDTS TruSurroundAMR+ 800 Active Motion & ResolutionPicture Optimizer: 5 modes (User / Cinema / Sports / Vivid / Hi-Bright)Expandable memory with USB/HDD 3.0Supports connection with Bluetooth devices16GB Internal MemoryHDMI x 3USB x 2,TSB-55U7750VM,55.0,Toshiba 55-inch UHD 4K with Android TV TSB-55U7750VM,4092.0
